name;mix_name;isrc;artists;composer;remixers
Sunrise;Original Mix;UACT10700138;Marcello Mineo;MINEO MARCELLO | YERESHCHENKO YEVGENIY ALEKSEYEVYCH | KULINICH ALEKSEI NIKOLAEVYCH | SLESARENKO SERGEY ALEKSANDROVYCH;
Only Friends;Original Mix;UACT10700080;Sergio Mega feat. Storm Tarrion;LAZAREV SERGIY GEORGIEVYCH;
Only Friends;X Mix;UACT10700082;Sergio Mega feat. Storm Tarrion;LAZAREV SERGIY GEORGIEVYCH;
Only Friends;DJ Pierre Afro Acid Remix;UACT10700081;Sergio Mega feat. Storm Tarrion;LAZAREV SERGIY GEORGIEVYCH;DJ Pierre
Only Friends;Dan Brain Dub;UACT10700083;Sergio Mega feat. Storm Tarrion;LAZAREV SERGIY GEORGIEVYCH;Dan Brain
Zorba Dub;Ikiro Remix;UACT10700148;DJ Der Bastler;MOSKALENKO IVAN ALEXANDROVYCH;Ikiro
Zorba Dub;Ingvo & DJ Der Bastler Remix;UACT10700149;DJ Der Bastler;MOSKALENKO IVAN ALEXANDROVYCH;DJ Der Bastler | Ingvo
Zorba Dub;Original Mix;UACT10700106;DJ Der Bastler;MOSKALENKO IVAN ALEXANDROVYCH;
Zorba Dub;Sergio Mega Remix;UACT10700147;DJ Der Bastler;MOSKALENKO IVAN ALEXANDROVYCH;Sergio Mega
Insomnia;Original Mix;UACT10700128;Shiz;KUYDA IVAN VLADIMIROVYCH | KAKHNICH NICKOLAY NICKOLAEVYCH;
Insomnia;Sergio Mega Remix;UACT10700151;Shiz;KUYDA IVAN VLADIMIROVYCH | KAKHNICH NICKOLAY NICKOLAEVYCH;Sergio Mega
Insomnia;Kotov & Andre Wilde Remix;UACT10700150;Shiz;KUYDA IVAN VLADIMIROVYCH | KAKHNICH NICKOLAY NICKOLAEVYCH;Kotov | Andre Wilde
Party Moods;Original Mix;UACT10700008;Sergio Mega feat. Lutz Ebmeier;LAZAREV SERGIY GEORGIEVYCH;
Superstar;Original Mix;UACT10700006;Sergio Mega;LAZAREV SERGIY GEORGIEVYCH;
